Wed Oct  1 00:33:33 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [25, 0, 639, 638], 'height_m': 4.0125790950124705, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759260813.384176}
Wed Oct  1 00:37:34 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [14, 3, 626, 639], 'height_m': 4.010149012071529, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759261054.5546746}
Wed Oct  1 00:38:43 2025 - EVENT - {'type': 'other_detected', 'class': 'cat', 'bbox': [216, 466, 427, 640], 'height_m': 2.353191373861166, 'in_roi': False, 'key': (8, 16), 'timestamp': 1759261123.3918087}
Wed Oct  1 00:38:56 2025 - EVENT - {'type': 'other_detected', 'class': 'cat', 'bbox': [186, 246, 611, 640], 'height_m': 3.144482321128199, 'in_roi': False, 'key': (9, 16), 'timestamp': 1759261136.7437468}
Wed Oct  1 00:39:03 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [43, 187, 532, 640], 'height_m': 3.356692166077085, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759261143.8300898}
Wed Oct  1 00:39:11 2025 - EVENT - {'type': 'other_detected', 'class': 'cat', 'bbox': [88, 317, 639, 640], 'height_m': 2.889111151782929, 'in_roi': False, 'key': (9, 16), 'timestamp': 1759261151.6842713}
Wed Oct  1 00:39:14 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [33, 264, 619, 640], 'height_m': 3.0797403345336236, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759261154.2776234}
Wed Oct  1 00:39:18 2025 - EVENT - {'type': 'other_detected', 'class': 'cat', 'bbox': [239, 268, 622, 639], 'height_m': 3.0589836612557266, 'in_roi': False, 'key': (10, 15), 'timestamp': 1759261158.8330405}
Wed Oct  1 00:39:19 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [21, 272, 567, 640], 'height_m': 3.050966118269368, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759261159.7134364}
Wed Oct  1 00:39:26 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [8, 282, 569, 640], 'height_m': 3.014998347939048, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759261166.3250186}
Wed Oct  1 00:39:31 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [5, 277, 577, 640], 'height_m': 3.032982233104208, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759261171.3897145}
Wed Oct  1 00:39:37 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [5, 279, 600, 640], 'height_m': 3.0257886790381443, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759261177.4549115}
Wed Oct  1 00:39:49 2025 - EVENT - {'type': 'other_detected', 'class': 'nutria', 'bbox': [231, 198, 585, 638], 'height_m': 3.303370739009374, 'in_roi': False, 'key': (10, 15), 'timestamp': 1759261189.6904645}
Wed Oct  1 00:41:45 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [0, 0, 638, 639], 'height_m': 4.020916921703406, 'in_roi': True, 'key': (7, 15), 'timestamp': 1759261305.433967}
Wed Oct  1 00:41:51 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [97, 47, 624, 638], 'height_m': 3.8442316569713317, 'in_roi': True, 'key': (9, 15), 'timestamp': 1759261311.8630445}
Wed Oct  1 00:41:57 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [107, 36, 606, 637], 'height_m': 3.875595634652197, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759261317.6151936}
Wed Oct  1 00:42:03 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [114, 41, 580, 638], 'height_m': 3.8657228192744557, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759261323.4293897}
